expiry,entry_ts,atm_strike,entry_spot,ce_entry,pe_entry,combined_entry,lots,qty,exit_ts,ce_exit,pe_exit,exit_spot,exit_reason,gross_pnl,net_pnl,return_pct,minutes_held
17_OCT_24,2024-10-17T14:50:00+05:30,24750,24743.0,5.5,6.6,12.1,25,1625,2024-10-17T15:25:00+05:30,0.6,0.05,24751.65,TIME_EXIT,-18931.25,-19051.25,-95.49,35
31_OCT_24,2024-10-31T14:50:00+05:30,24200,24207.6,9.65,5.95,15.6,19,1235,2024-10-31T15:25:00+05:30,4.05,0.1,24210.1,TIME_EXIT,-14387.75,-14507.75,-74.2,35
09_SEP_25,2025-09-09T14:50:00+05:30,24850,24860.85,13.6,10.05,23.65,13,845,2025-09-09T15:25:00+05:30,19.15,0.05,24879.15,TIME_EXIT,-3929.25,-4049.25,-19.58,35
16_SEP_25,2025-09-16T14:50:00+05:30,25200,25197.45,11.55,7.6,19.15,16,1040,2025-09-16T15:25:00+05:30,38.8,0.05,25251.75,TIME_EXIT,20280.0,20160.0,101.3,35
23_SEP_25,2025-09-23T14:50:00+05:30,25200,25200.1,14.25,11.5,25.75,11,715,2025-09-23T15:25:00+05:30,0.05,30.05,25170.15,TIME_EXIT,2967.25,2847.25,16.05,35
07_OCT_25,2025-10-07T14:50:00+05:30,25150,25159.05,11.65,9.85,21.5,14,910,2025-10-07T15:25:00+05:30,0.05,42.2,25107.9,TIME_EXIT,18700.5,18580.5,95.14,35
28_OCT_25,2025-10-28T15:00:00+05:30,25900,25885.6,9.75,12.65,22.4,13,845,2025-10-28T15:25:00+05:30,37.7,0.1,25961.35,TIME_EXIT,12844.0,12724.0,67.56,25
04_NOV_25,2025-11-04T14:50:00+05:30,25600,25592.2,18.65,15.55,34.2,8,520,2025-11-04T15:25:00+05:30,0.55,2.25,25600.3,TIME_EXIT,-16432.0,-16552.0,-92.13,35
11_NOV_25,2025-11-11T15:00:00+05:30,25700,25691.3,5.7,12.05,17.75,17,1105,2025-11-11T15:25:00+05:30,0.1,5.4,25708.65,TIME_EXIT,-13757.25,-13877.25,-69.75,25
18_NOV_25,2025-11-18T14:50:00+05:30,25950,25951.35,11.9,13.7,25.6,12,780,2025-11-18T15:25:00+05:30,0.05,39.4,25894.05,TIME_EXIT,10647.0,10527.0,53.11,35
02_DEC_25,2025-12-02T15:00:00+05:30,26000,26011.85,15.0,6.1,21.1,14,910,2025-12-02T15:25:00+05:30,32.5,0.05,26055.0,TIME_EXIT,10237.5,10117.5,53.07,25
09_DEC_25,2025-12-09T15:00:00+05:30,25850,25840.25,5.0,12.15,17.15,17,1105,2025-12-09T15:25:00+05:30,0.1,10.85,25835.25,TIME_EXIT,-7072.0,-7192.0,-37.1,25
23_DEC_25,2025-12-23T15:00:00+05:30,26200,26204.2,5.45,8.15,13.6,22,1430,2025-12-23T15:25:00+05:30,0.05,22.4,26170.85,TIME_EXIT,12369.5,12249.5,63.14,25
30_DEC_25,2025-12-30T14:50:00+05:30,25950,25951.85,16.75,8.85,25.6,12,780,2025-12-30T15:25:00+05:30,0.1,11.4,25948.55,TIME_EXIT,-11154.0,-11274.0,-55.64,35
13_JAN_26,2026-01-13T14:50:00+05:30,25700,25698.45,18.14,12.8,30.94,9,585,2026-01-13T15:25:00+05:30,32.4,0.1,25729.8,TIME_EXIT,795.6,675.6,4.38,35
20_JAN_26,2026-01-20T14:50:00+05:30,25350,25348.75,13.9,15.7,29.6,10,650,2026-01-20T15:25:00+05:30,0.2,121.0,25185.6,TIME_EXIT,59410.0,59290.0,307.74,35
03_FEB_26,2026-02-03T15:00:00+05:30,25750,25742.25,14.75,18.85,33.6,9,585,2026-02-03T15:25:00+05:30,0.05,22.9,25719.95,TIME_EXIT,-6347.25,-6467.25,-32.2,25
21_APR_26,2026-04-21T15:00:00+05:30,24600,24592.8,6.35,18.1,24.45,12,780,2026-04-21T15:25:00+05:30,0.05,23.0,24573.55,TIME_EXIT,-1248.0,-1368.0,-6.52,25
